Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
553227771505655,Scott Bennett - Grand Blanc Township Supervisor,Scott Bennett - Grand Blanc Township Supervisor,396,1
1700346616875396,Bienvenido Action,BIENVENIDO IN ACTION,396,4
113290183790699,Jake Odello,Committee to Elect Jacob Odello to CUSD Board 2024,395,5
207019902498413,Eye Spy DC,EYESPYDC LLC,395,13
106987622389913,Shawn Craft,These ads ran without a disclaimer,395,2
202782036257081,Stephen Stanley for Texas House,Committee to Elect Stephen Stanley,395,2
101979951589469,Anna Coriddi-Meza for CNUSD School Board,Anna Coriddi-Meza For CNUSD School Board,395,2
126472371267520,Trump Store,These ads ran without a disclaimer,394,4
114893977884857,Eric Meschino for State Representative,Eric Meschino for State Representative,394,25
197455643443284,Neil Young for Congress,NEIL YOUNG FOR CONGRESS,394,17
110273481960644,Jesse Lara  Shakopee City Council,Jesse Lara City Council Candidate,393,8
1596292570584925,Senator Janet Nguyen,Senator Janet Nguyen,393,4
298754666646831,Angeline Anderson for MN House,Angeline Anderson for MN House,393,8
102851688335090,Georgia On My Mind,MomsRising Together,393,26
111657105204546,John Dewane For Ingham County Prosecutor,John Dewane For Ingham County Prosecutor,392,3
102702352383557,Charles Hutchinson for Illinois,People for Charles Hutchinson,392,20
368970839643314,Josue Alvarado for Central Basin Municipal Water District,Josue Alvarado For Central Basin Municipal Water District 2 2024,392,16
1156069644511019,Jim McGreevey,Jim McGreevey for Mayor,392,8
910684789028914,Rochester Area Republican Club RARC Michigan,Rochester Area Republican Club RARC Michigan,391,1
117287724959762,Brownfield Ag News,Brownfield Ag News,391,6
108237098482943,Karen Reddington-Hughes for CT 66th,Karen Reddington-Hughes for CT 66th,390,2
114076912077702,Greg Olson for Winona County Commissioner,Greg Olson for Winona County Commissioner District 4,390,17
103862132421341,Oil and Gas Watch,ENVIRONMENTAL INTEGRITY PROJECT,390,7
1575300589428722,Tony Flores Oficial,Tony Flores Oficial,390,3
105418029556529,AccessTV.org,AccessTV.org,390,34
1615713098662525,Interfaith Partners for the Chesapeake,"INTERFAITH PARTNERS FOR THE CHESAPEAKE, INC.",390,24
128167457221813,Public Transportation,Public Transportation,390,1
113785067108505,Black Wonders,Respect Initiative,390,31
101415254816106,Political Test Business Main Page,US org 1,389,8
203583423017526,National Immigration Law Center,National Immigration Law Center,389,10
586402784803665,OLÉ NewMexico,"OLE EDUCATION FUND, THE",389,61
29766934122,Keshet,Keshet,389,4
353494027841796,Halls for Wisconsin,Halls for Wisconsin,388,4
111697317632711,Marcial Mojena & Brian Sisz for Mansfield Township Committee,Marcial Mojena & Brian Sisz for Mansfield Township Committee,388,6
407842729084734,Vote Dennis Pugsley to Support Palestine,NicoPAC,388,3
222945984234013,Cheryl Loudermilk for Vigo County Auditor,Cheryl Loudermilk for Vigo County Auditor,388,5
321868844345793,Schaaf,Park Studio LLC DBA Schaaf,388,6
56852373414,YMCA of Central Ohio,These ads ran without a disclaimer,388,2
373889462475983,Norberto Nini Torres Oficial,Norberto Nini Torres Oficial,388,12
111033694761087,Edward O'Neill,Comité Edward O’Neill,387,2
350620665635408,4ever News,4ever News,387,5
261019170905,True Texas Project,True Texas Project,387,12
318184618056186,Kathy for Fairfield Probate Judge,"Kathy Caulfield 2024. Jennifer Hauhuth, Treasurer. Approved by Kathy Caulfield.",386,13
386443721426693,Arrowhead Schools,Arrowhead Union High School District,386,8
325631517295910,"Vlad ""Steve"" Yanovsky for MA State Representative",Yanovsky for State Representative MA 11th Middlesex (Newton),386,8
123185498255,Carsie Blanton,Carsie Blanton Music,386,2
182854108239980,Congressman Curly,"LEVEL UP AMERICA, INC.",386,3
374980789032311,Yes for Cam-Plex,Yes for Cam-Plex,386,2
311878835334632,Jared Mathis for Laguna Hills City Council,Jared Mathis for City Council 2024,385,2
71186576700,"Florida Community Health Centers, Inc.","Florida Community Health Centers, Inc.",385,54
269063836297538,Mary Sherzer for Cannon Township Trustee,Committee to Elect Mary Sherzer,385,4
